"","order","hostSpecies","parasite","genus","species","commonName","type"
"24","Artiodactyla","Hemitragus jayakari","no parasite indicated",NA,NA,NA,NA
"25","Artiodactyla","Ovis canadensis","PSOROPTIC SCABIES","Psoroptes","sp.","Psoroptic scabies","Arthropod"
"26","Artiodactyla","Ovis canadensis","PASTEURELLOSIS (M. haemolytica)","Pasteurella","multocida","Pasteurellosis","Bacteria"
"27","Artiodactyla","Ovis canadensis","INFECTIOUS KERATOCONJUNCTIVITIS (Chlamydia)","Chlamydia","sp.","Infectious Keratoconjuctivitis","Bacteria"
"28","Artiodactyla","Ovis canadensis","INFECTIOUS KERATOCONJUNCTIVITIS (Mycoplasma)","Mycoplasma","conjunctivae","Infectious Keratoconjuctivitis","Bacteria"
"29","Artiodactyla","Ovis canadensis","PASTEURELLOSIS (P. multicoda)","Mannheimia","haemolytica","Pasteurellosis","Bacteria"
"30","Artiodactyla","Ovis canadensis","LUNGWORMS","Protostrongylus","sp.","Lungworm","Helminth"
"31","Artiodactyla","Ovis orientalis (vignei)","no parasite indicated",NA,NA,NA,NA
"32","Artiodactyla","Procapra gutturosa","PASTEURELLOSIS","Pasteurella","sp.","Pasteurellosis","Bacteria"
"33","Artiodactyla","Procapra gutturosa","NECROBACILLOSIS","Fusobacterium","necrophorum","Necrobacillosis or ""foot rot"" or ""foot abcessess'","Bacteria"
"34","Artiodactyla","Syncerus caffer","RINDERPEST","Morbillivius","Rinderpest virus","Rinderpest","Virus"
"35","Artiodactyla","Syncerus caffer","BOVINE TUBERCULOSIS","Mycobacterium","tuberculosis","Bovine TB","Bacteria"
"36","Artiodactyla","Syncerus caffer","FOOT AND MOUTH","Aphthovirus","Foot and Mouth Disease Virus","FMDV","Virus"
"37","Artiodactyla","Tragelaphus imberbis","RINDERPEST","Morbillivius","Rinderpest virus","Rinderpest","Virus"
"38","Artiodactyla","Tragelaphus imberbis","BOVINE TUBERCULOSIS","Mycobacterium","tuberculosis","Bovine TB","Bacteria"
"39","Artiodactyla","Tragelaphus imberbis","FOOT AND MOUTH","Aphthovirus","Foot and Mouth Disease Virus","FMDV","Virus"
"40","Artiodactyla","Tragelaphus imberbis","ANTHRAX","Bacillus","anthracis","anthrax","Bacteria"
"41","Artiodactyla","Tragelaphus imberbis","RABIES","Lyssavirus","rabies","Lyssavirus rabies","Virus"
"42","Artiodactyla","Dama dama","no parasite indicated",NA,NA,NA,NA
"43","Artiodactyla","Hippocamelus antisensis","no parasite indicated",NA,NA,NA,NA
"44","Artiodactyla","Hippocamelus bisulcus","THIN NECKED BLADDER WORM","Taenia","hydatigena","Thin necked Bladder worm","Helminth"
"45","Artiodactyla","Hippocamelus bisulcus",NA,NA,NA,NA,NA
"46","Artiodactyla","Ozotoceros bezoarticus","no parasite indicated",NA,NA,NA,NA
